grid_id,point_idx,req_lat,req_lon,pano_id,date,dist_m,heading,roadness,image_path
3912,0,39.724954086445265,-104.95224570353528,xLo8P82FJZYBjmY_PUEarA,2024-11,3.268196982007742,315,0.5366259765625,streetview_best/grid_3912/P0_rank2_h315_road0.537.jpg
3483,53,39.75295063672691,-104.96967230263148,_RvcgrMVkKA5OPUXJh_2ew,2024-05,1.9241141327858298,0,0.9905126953125,streetview_best/grid_3483/P53_rank1_h0_road0.991.jpg
3483,53,39.75295063672691,-104.96967230263148,_RvcgrMVkKA5OPUXJh_2ew,2024-05,1.9241141327858298,180,0.9711767578125,streetview_best/grid_3483/P53_rank2_h180_road0.971.jpg
3483,43,39.752606948011135,-104.97091930505567,iqWauUUkDa9hmpv1eJppOA,2024-05,2.3515622829020564,180,0.9958251953125,streetview_best/grid_3483/P43_rank1_h180_road0.996.jpg
3483,43,39.752606948011135,-104.97091930505567,iqWauUUkDa9hmpv1eJppOA,2024-05,2.3515622829020564,0,0.9872021484375,streetview_best/grid_3483/P43_rank2_h0_road0.987.jpg
3131,24,39.75270354240056,-104.9847272889111,CAoSF0NJSE0wb2dLRUlDQWdJQ3AtS2ItNkFF,2023-07,0.6498643098772852,90,0.9750634765625,streetview_best/grid_3131/P24_rank1_h90_road0.975.jpg
3131,24,39.75270354240056,-104.9847272889111,CAoSF0NJSE0wb2dLRUlDQWdJQ3AtS2ItNkFF,2023-07,0.6498643098772852,315,0.9189599609375,streetview_best/grid_3131/P24_rank2_h315_road0.919.jpg
3131,44,39.75479293946903,-104.98407042804227,CAoSF0NJSE0wb2dLRUlDQWdJQzQzX094aUFF,2019-05,0.9649741037873781,180,0.0480224609375,streetview_best/grid_3131/P44_rank1_h180_road0.048.jpg
3131,44,39.75479293946903,-104.98407042804227,CAoSF0NJSE0wb2dLRUlDQWdJQzQzX094aUFF,2019-05,0.9649741037873781,90,0.0448876953125,streetview_best/grid_3131/P44_rank2_h90_road0.045.jpg
4972,5,39.73496202417565,-104.91280050512735,iyoL-RBB-0FECkc3sKgC5w,2023-11,0.933853011205006,0,0.9940380859375,streetview_best/grid_4972/P5_rank1_h0_road0.994.jpg
4972,5,39.73496202417565,-104.91280050512735,iyoL-RBB-0FECkc3sKgC5w,2023-11,0.933853011205006,180,0.9732861328125,streetview_best/grid_4972/P5_rank2_h180_road0.973.jpg
4972,10,39.73442574541171,-104.91280706758832,3s19yFkDrUjW5vFFjG_Quw,2014-10,1.1372957932097743,45,0.473896484375,streetview_best/grid_4972/P10_rank1_h45_road0.474.jpg
4972,10,39.73442574541171,-104.91280706758832,3s19yFkDrUjW5vFFjG_Quw,2014-10,1.1372957932097743,225,0.4524169921875,streetview_best/grid_4972/P10_rank2_h225_road0.452.jpg
5046,26,39.69695230689646,-104.90826000437141,N4ZWCHyUq90BQCPd4FiWyw,2024-04,2.9309270215886736,180,0.88810546875,streetview_best/grid_5046/P26_rank1_h180_road0.888.jpg
5046,26,39.69695230689646,-104.90826000437141,N4ZWCHyUq90BQCPd4FiWyw,2024-04,2.9309270215886736,0,0.872958984375,streetview_best/grid_5046/P26_rank2_h0_road0.873.jpg
5046,45,39.69809501251604,-104.90827276101571,WEJPi1x0K8cn3jidqyq4jA,2024-04,3.0511323563801875,0,0.9970263671875,streetview_best/grid_5046/P45_rank1_h0_road0.997.jpg
5046,45,39.69809501251604,-104.90827276101571,WEJPi1x0K8cn3jidqyq4jA,2024-04,3.0511323563801875,315,0.9849853515625,streetview_best/grid_5046/P45_rank2_h315_road0.985.jpg
3629,3,39.67272817962625,-104.96315831399633,M8MYhk9rtegieMlrYFpFTQ,2024-10,1.0665811332356059,225,0.7055615234375,streetview_best/grid_3629/P3_rank1_h225_road0.706.jpg
3629,3,39.67272817962625,-104.96315831399633,M8MYhk9rtegieMlrYFpFTQ,2024-10,1.0665811332356059,180,0.6414453125,streetview_best/grid_3629/P3_rank2_h180_road0.641.jpg
3629,11,39.67130688000934,-104.96493228975356,7hM1Ng1DiYD9upBMrzSh6g,2024-10,1.4293781371261904,90,0.9686181640625,streetview_best/grid_3629/P11_rank1_h90_road0.969.jpg
3629,11,39.67130688000934,-104.96493228975356,7hM1Ng1DiYD9upBMrzSh6g,2024-10,1.4293781371261904,270,0.8703955078125,streetview_best/grid_3629/P11_rank2_h270_road0.870.jpg
5337,43,39.77105054922012,-104.8975536184636,0Zmj10CTvPQzgyCKnRp3bw,2024-06,0.8385906342954751,315,0.009775390625,streetview_best/grid_5337/P43_rank1_h315_road0.010.jpg
5337,43,39.77105054922012,-104.8975536184636,0Zmj10CTvPQzgyCKnRp3bw,2024-06,0.8385906342954751,0,0.008603515625,streetview_best/grid_5337/P43_rank2_h0_road0.009.jpg
5337,15,39.769647752610176,-104.89657373362259,3YHoRBwfSQCz7JXTlFJk7Q,2024-06,1.0880671938841722,90,0.424716796875,streetview_best/grid_5337/P15_rank1_h90_road0.425.jpg
5337,15,39.769647752610176,-104.89657373362259,3YHoRBwfSQCz7JXTlFJk7Q,2024-06,1.0880671938841722,45,0.2955126953125,streetview_best/grid_5337/P15_rank2_h45_road0.296.jpg
3737,20,39.72680259453578,-104.95905562613129,HdAz_2Skqwl3iDHqLSXNGA,2024-11,3.367878011946719,225,0.5990869140625,streetview_best/grid_3737/P20_rank1_h225_road0.599.jpg
3737,20,39.72680259453578,-104.95905562613129,HdAz_2Skqwl3iDHqLSXNGA,2024-11,3.367878011946719,180,0.5940576171875,streetview_best/grid_3737/P20_rank2_h180_road0.594.jpg
3737,21,39.72544015859148,-104.96130262253689,Y9gXbQFL9psNLWrNWRaGsA,2020-11,3.9824391043788747,180,0.982529296875,streetview_best/grid_3737/P21_rank1_h180_road0.983.jpg
3737,21,39.72544015859148,-104.96130262253689,Y9gXbQFL9psNLWrNWRaGsA,2020-11,3.9824391043788747,0,0.9748095703125,streetview_best/grid_3737/P21_rank2_h0_road0.975.jpg
8774,36,39.783683412439416,-104.76211167444481,rBVFnfgCaKqdPOeU2bTYKQ,2021-07,2.1879565575719377,315,0.35796875,streetview_best/grid_8774/P36_rank1_h315_road0.358.jpg
